  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
 82,          1882,            1805,           1999,       699,         132,       1000,          3321,              79,           1001,       415,           0,          0
 83,          1933,            1855,           2000,       678,         138,          0,          3403,              79,           1003,       427,           0,        997
 84,          1938,            1859,           1998,       739,         134,          0,          3486,              79,           1001,       434,           0,        999
 85,          1983,            1903,           2999,       716,         135,          0,          3570,              79,           2000,       441,           0,       1001
 86,          2010,            1929,           1998,       790,         139,       1000,          3655,              81,           2000,       447,           0,       1020
 87,          2055,            1973,           1995,       752,         136,          0,          3741,              83,           1004,       457,           0,       1000
 88,          2094,            2011,           1999,       732,         145,          0,          3828,              85,           1000,       463,           0,       1000
 89,          2130,            2046,           1999,       740,         148,       1000,          3916,              84,            999,       467,           0,        977
 90,          2185,            2100,           4002,       787,         146,        999,          4005,              87,            999,       473,           0,          0
 91,          2198,            2112,           2999,       795,         153,          0,          4095,              85,            997,       487,           0,        998
 92,          2212,            2125,           1999,       801,         153,          0,          4186,              88,           1999,       494,           0,          0
 93,          2255,            2167,           2000,       734,         162,       1101,          4278,              88,           1003,       498,           0,        997
 94,          2295,            2206,           2998,       765,         161,          0,          4371,              89,           2999,       501,           0,          0
 95,          2303,            2213,           3000,       819,         157,       1001,          4465,              92,            999,       516,           0,          0
 96,          2379,            2288,           4002,       831,         160,          0,          4560,              93,           1997,       521,           0,          0
 97,          2421,            2329,           3019,       813,         165,          0,          4656,              92,           2000,       529,           0,          0
 98,          2517,            2424,           2999,      1011,         167,          0,          4753,              90,           1995,       535,           0,          0
 99,          2602,            2508,           3004,       863,         168,       1000,          4851,              94,            999,       537,           0,       1000
100,          2664,            2569,           2978,       867,         168,       1001,          4950,              97,           1998,       539,           0,       1000
